SURNAME,FREQUENCY
ORR,"44,388"
DAVILA,"44,388"
WHITEHEAD,"44,373"
PRUITT,"44,365"
KENT,"44,325"
CONWAY,"44,320"
MCKEE,"44,137"
BARR,"44,130"
DAVID,"44,040"
DEJESUS,"44,038"
MARIN,"43,904"
BERGER,"43,851"
MCINTYRE,"43,842"
BLANKENSHIP,"43,830"
GAINES,"43,821"
PALACIOS,"43,798"
CUEVAS,"43,701"
BARTLETT,"43,648"
DURHAM,"43,635"
DORSEY,"43,631"
MCCALL,"43,483"
ODONNELL,"43,460"
STEIN,"43,389"
BROWNING,"43,329"
STOUT,"43,305"
LOWERY,"43,278"
SLOAN,"43,261"
MCLEAN,"43,260"
HENDRICKS,"43,197"
CALHOUN,"43,180"
SEXTON,"43,133"
CHUNG,"43,110"
GENTRY,"43,027"
HULL,"43,018"
DUARTE,"42,983"
ELLISON,"42,827"
NIELSEN,"42,773"
GILLESPIE,"42,693"
BUCK,"42,639"
MIDDLETON,"42,578"
SELLERS,"42,577"
LEBLANC,"42,575"
ESPARZA,"42,559"
HARDIN,"42,469"
BRADSHAW,"42,465"
MCINTOSH,"42,379"
HOWE,"42,265"
LIVINGSTON,"42,103"
FROST,"42,015"
GLASS,"41,802"
MORSE,"41,774"
KNAPP,"41,771"
HERMAN,"41,750"
STARK,"41,735"
BRAVO,"41,700"
NOBLE,"41,667"
SPEARS,"41,665"
WEEKS,"41,565"
CORONA,"41,553"
FREDERICK,"41,394"
BUCKLEY,"41,348"
MCFARLAND,"41,300"
HEBERT,"41,275"
ENRIQUEZ,"41,271"
HICKMAN,"41,163"
QUINTERO,"41,158"
RANDOLPH,"41,129"
SCHAEFER,"41,063"
WALLS,"41,025"
TREJO,"41,021"
HOUSE,"41,000"
REILLY,"40,884"
PENNINGTON,"40,854"
MICHAEL,"40,736"
CONRAD,"40,707"
GILES,"40,598"
BENJAMIN,"40,590"
CROSBY,"40,563"
FITZPATRICK,"40,449"
DONOVAN,"40,410"
MAYS,"40,408"
MAHONEY,"40,397"
VALENTINE,"40,395"
RAYMOND,"40,275"
MEDRANO,"40,261"
HAHN,"40,250"
MCMILLAN,"40,237"
SMALL,"40,212"
BENTLEY,"40,193"
FELIX,"40,165"
PECK,"40,055"
LUCERO,"39,986"
BOYLE,"39,921"
HANNA,"39,890"
PACE,"39,879"
RUSH,"39,802"
HURLEY,"39,796"
HARDING,"39,787"
MCCONNELL,"39,754"
BERNAL,"39,693"
NAVA,"39,670"
AYERS,"39,623"
EVERETT,"39,593"
VENTURA,"39,580"
AVERY,"39,564"
PUGH,"39,559"
MAYER,"39,555"
BENDER,"39,551"
SHEPARD,"39,430"
MCMAHON,"39,411"
LANDRY,"39,391"
CASE,"39,319"
SAMPSON,"39,277"
MOSES,"39,216"
MAGANA,"39,105"
BLACKBURN,"39,097"
DUNLAP,"39,063"
GOULD,"38,924"
DUFFY,"38,835"
VAUGHAN,"38,830"
HERRING,"38,733"
MCKAY,"38,681"
ESPINOSA,"38,667"
RIVERS,"38,662"
FARLEY,"38,528"
BERNARD,"38,512"
ASHLEY,"38,499"
FRIEDMAN,"38,374"
POTTS,"38,277"
TRUONG,"38,267"
COSTA,"38,265"
CORREA,"38,232"
BLEVINS,"38,229"
NIXON,"38,147"
CLEMENTS,"38,044"
FRY,"38,029"
DELAROSA,"37,932"
BEST,"37,923"
BENTON,"37,912"
LUGO,"37,903"
PORTILLO,"37,890"
DOUGHERTY,"37,884"
CRANE,"37,870"
HALEY,"37,858"
PHAN,"37,836"
VILLALOBOS,"37,754"
BLANCHARD,"37,695"
HORNE,"37,689"
FINLEY,"37,672"
QUINTANA,"37,657"
LYNN,"37,644"
ESQUIVEL,"37,578"
BEAN,"37,571"
DODSON,"37,566"
MULLEN,"37,502"
XIONG,"37,499"
HAYDEN,"37,451"
CANO,"37,368"
LEVY,"37,228"
HUBER,"37,170"
RICHMOND,"37,053"
MOYER,"37,050"
LIM,"37,021"
FRYE,"36,973"
SHEPPARD,"36,960"
MCCARTY,"36,944"
AVALOS,"36,922"
BOOKER,"36,840"
WALLER,"36,805"
PARRA,"36,765"
WOODWARD,"36,764"
JARAMILLO,"36,755"
KRUEGER,"36,743"
RASMUSSEN,"36,636"
BRANDT,"36,613"
PERALTA,"36,585"
DONALDSON,"36,558"
STUART,"36,540"
FAULKNER,"36,466"
MAYNARD,"36,460"
GALINDO,"36,429"
COFFEY,"36,423"
ESTES,"36,318"
SANFORD,"36,312"
BURCH,"36,269"
MADDOX,"36,250"
VO,"36,236"
OCONNELL,"36,194"
VU,"36,179"
ANDERSEN,"36,150"
SPENCE,"36,129"
MCPHERSON,"36,125"
CHURCH,"36,072"
SCHMITT,"36,043"
STANTON,"35,997"
LEAL,"35,958"
CHERRY,"35,877"
COMPTON,"35,830"
DUDLEY,"35,781"
SIERRA,"35,770"
POLLARD,"35,749"
ALFARO,"35,725"
HESTER,"35,642"
PROCTOR,"35,636"
LU,"35,628"
HINTON,"35,606"
NOVAK,"35,461"
GOOD,"35,446"
MADDEN,"35,438"
MCCANN,"35,408"
TERRELL,"35,408"
JARVIS,"35,350"
DICKSON,"35,312"
REYNA,"35,291"
CANTRELL,"35,266"
MAYO,"35,228"
BRANCH,"35,225"
HENDRIX,"35,194"
ROLLINS,"35,132"
ROWLAND,"35,121"
WHITNEY,"35,118"
DUKE,"35,053"
ODOM,"35,020"
DAUGHERTY,"34,987"
TRAVIS,"34,985"
TANG,"34,961"
ARCHER,"34,949"
